Allegan city,5070
Allegan County,113847
Allegan township,4490
Allegany County,72952
Allegany Reservation,994
Allegany town,7763
Allegany township,415
Allegany village,1767
Alleghany County,10879
Alleghany township,55
Allegheny County,1231255
Allegheny township,6660
Alleman city,438
Allen city,175
Allen County,365918
Allen Parish,25713
Allen Park city,27566
Allen town,446
Allen town (pt.),135
Allen township,572
Allen village,188
Allendale borough,6789
Allendale charter township,21655
Allendale County,9695
Allendale town,3195
Allendale township,473
Allendale village,461
Allenhurst borough,489
Allenhurst city,700
Allenport borough,530
Allens Grove township,558
Allenstown town,4285
Allentown borough,1807
Allentown city,163
Allentown city (pt.),0
Allenville village,146
Allerton city,497
Allerton village,289
Allerton village (pt.),0
Allgood town,628
Alliance city,8519
Alliance city (pt.),39
Alliance town,761
Alliance township,241
Alligator town,202
Allin township,912
Allis township,919
Allison city,1034
Allison township,260
Allodium township,51
Allouez township,1615
Allouez village,13943
Alloway township,3418
Allport town,114
Alma Center village,500
Alma city,5560
Alma town,275
Alma township,820
Alma village,316
Almena city,397
Almena town,860
Almena township,4943
Almena village,664
Almena-District 4 township,552
Almer township,2056
Almira town,269
Almira township,3660
Almon town,582
Almond town,1587
Almond township,108
Almond village,451
Almond village (pt.),400
Almont city,115
Almont township,6670
Almont village,2694
Almyra town,276
Alna town,714
Aloha township,930
Alorton village,1954
Alpena city,10247
Alpena County,28988
Alpena town,394
Alpena town (pt.),320
Alpena township,8916
Alpha borough,2312
Alpha city,128
Alpha township,50
Alpha village,652
Alpharetta city,63038
Alpine borough,1894
Alpine city,5967
Alpine County,1116
Alpine town,845
Alpine township,13787
Alsace township,3740
Alsen city,34
Alsey village,222
Alsip village,19427
Alstead town,1926
Alston town,159
Alta city,1952
Alta town,390
Alta township,235
Alta Vista city,263
Alta Vista township,173
Altamont city,2304
Altamont city (pt.),0
Altamont town,33
Altamont township,83
Altamont village,201
Altamont village (pt.),2
Altamonte Springs city,42225
Altavista town,3460
Altenburg city,352
Altha town,529
Altheimer city,909
Altmar village,393
Alto Pass village,383
Alto town,1164
Alto town (pt.),506
Alto township,543
Alton city,27177
Alton town,55
Alton township,27177
Altona town,197
Altona township,148
Altona village,517
Altoona city,16105
Altoona town,928
Altoona town (pt.),30
Altoona township,85
Altory township,18
Altura city,491
Alturas city,2618
Altus city,736
Alva city,5174
Alvan village,266
Alvarado city,357
Alvin city,25525
Alvin town,153
Alvo village,132
Alvord city,193
Alvord town,1377
Alvwood township,42
Amador City city,186
Amador County,36742
Amador township,892
Amagon town,94
Amalga town,501
Amanda township,2051
Amanda village,748
Amarillo city,197254
Amarillo city (pt.),106284
Amazonia village,308
Amber town,444
Amber township,2546
Amberg town,718
Amberley village,3598
Ambia town,236
Ambler borough,6506
Ambler city,265
Amboy city,2383
Amboy city (pt.),2383
Amboy town,378
Amboy township,2965
Ambridge borough,6895
Ambrose city,376
Ambrose township,18
Amelia County,12855
Amelia village,4920
Amelia village (pt.),1705
Amenia city,95
Amenia town,4353
Amenia township,108
America township,68
American Canyon city,20470
American Falls city,4314
American Fork city,28152
American township,14203
Americus city,16283
Americus township,1481
Amery city,2856
Ames city,63266
Ames town,247
Ames township,1191
Ames village,143
Amesbury Town city,16794
Amesville village,158
Amherst city,12143
Amherst County,32041
Amherst Junction village,375
Amherst town,264
Amherst township,384
Amherst village,251
Amidon city,21
Amiret township,244
Amite City town,4327
Amite County,12629
Amity city,704
Amity town,230
Amity township,844
Amityville village,9522
Ammon city,14685
Amnicon town,1164
Amo town,413
Amo township,131
Amor township,493
Amoret city,186
Amorita town,38
Amory city,7107
Amsterdam city,236
Amsterdam town,6000
Amsterdam village,491
Amundsville township,45
Amwell township,3725
Anacoco village,867
Anaconda-Deer Lodge County,9150
Anacortes city,16232
Anadarko city,6723
Anaheim city,346997
Anahuac city,2316
Anaktuvuk Pass city,337
Anamoose city,252
Anamoose township,71
Anamosa city,5425
Anawalt town,212
Anchor township,286
Anchor village,146
Anchorage city,2408
Anchorage municipality,301010
Ancram town,1534
Andale city,981
Andalusia city,9081
Andalusia township,2299
Andalusia village,1183
Anderson city,271
Anderson city (pt.),15
Anderson County,7883
Anderson town,279
Anderson township,415
Andersonville city,241
Andes town,1268
Andover borough,587
Andover city,100
Andover city (pt.),12509
Andover town,3272
Andover township,944
Andover village,574
Andrea township,64
Andrew city,424
Andrew County,17379
Andrews city,13245
Andrews County,17477
Andrews town,1134
Andrews town (pt.),2840
Andrews township,54
Androscoggin County,107440
Aneta city,215
Angel Fire village,1141
Angelica town,1376
Angelica village,845
Angelina County,87750
Angelo town,1322
Angels city,3756
Angie village,243
Angier town,4836
Angier town (pt.),4726
Angleton city,19472
Angola city,8624
Angola city (pt.),8622
Angola village,2120
Angoon city,446
Angora township,250
Anguilla town,675
Angus city,412
Angus township,76
Aniak city,526
Anina township,20
Anita city,957
Aniwa town,537
Aniwa village,250
Ankeny city,53801
Anmoore town,761
Ann Arbor charter township,4524
Ann Arbor city,117770
Ann Lake township,434
Ann township,178
Anna city,4331
Anna Maria city,1626
Anna township,27
Anna village,1547
Anna village (pt.),916
Annabella town,794
Annada village,29
Annandale city,3295
Annapolis city,38856
Annawan town,861
Annawan town (pt.),4
Annawan township,1091
Anne Arundel County,560133
Annetta North town,562
Annetta South town,548
Annetta town,1383
Annin township,688
Anniston city,22457
Anniston town,230
Annona town,304
Annsville town,2978
Annville township,4860
Anoka city,17276
Anoka County,341864
Anoka village,6
Ansel township,96
Anselmo village,143
Ansley township,582
Ansley village,427
Anson city,2325
Anson County,25765
Anson town,2463
Ansonia city,18959
Ansonia town,18959
Ansonia village,1154
Ansonville town,606
Ansted town,1398
Antelope city,47
Antelope County,6398
Antelope Creek township,22
Antelope Lake township,30
Antelope township,209
Antelope Valley township,25
Anthon city,565
Anthony city,2234
Anthony town,5423
Anthony township,60
Anthonyville town,154
Antigo city,7921
Antigo town,1385
Antimony town,120
Antioch city,108930
Antioch township,27669
Antioch village,14411
Antioch village (pt.),14405
Antis township,6433
Antler city,28
Antler township,57
Antlers city,2346
Antoine town,114
Anton city,1144
Antonito town,775
Antrim County,23267
Antrim town,2655
Antrim township,2115
Antwerp town,1899
Antwerp township,12086
Antwerp village,700
Anvik city,85
Apache County,71828
Apache Junction city,38131
Apache Junction city (pt.),307
Apache town,1429
Apalachicola city,2276
Apex town,43907
Aplington city,1120
Apolacon township,495
Apollo borough,1607
Apopka city,47084
Appalachia town,1684
Appanoose County,12661
Appanoose township,419
Apple Creek township,2824
Apple Creek village,1180
Apple River town,1132
Apple River township,489
Apple River village,358
Apple Valley city,50487
Apple Valley town,71595
Appleby city,470
Applegate village,241
Appleton city,1356
Appleton city (pt.),11256
Appleton City city,1094
Appleton town,1330
Appleton township,913
Applewold borough,300
Appling County,18540
Appomattox County,15279
Appomattox town,1744
Aquilla city,108
Aquilla village,342
Aquinnah town,323
Arab city,8284
Arab city (pt.),27
Arabi town,568
Arago township,607
Aragon city,1232
Aransas County,24972
Aransas Pass city,8461
Aransas Pass city (pt.),779
Arapaho town,824
Arapahoe city,1018
Arapahoe County,618821
Arapahoe town,546
Ararat township,545
Arbela town,42
Arbela township,2976
Arbo township,874
Arbor Vitae town,3307
Arbyrd city,494
Arbyrd city (pt.),23
Arcada township,1660
Arcade city,1782
Arcade town,4136
Arcade township,95
Arcade village,2003
Arcadia city,58232
Arcadia Lakes town,871
Arcadia town,1680
Arcadia township,3107
Arcadia village,307
Arcanum village,2092
Arcata city,17730
Archbald borough,7075
Archbold village,4344
Archdale city,11539
Archdale city (pt.),331
Archer city,1158
Archer City city,1776
Archer County,8811
Archer Lodge town,4594
Archer township,302
Archie city,1180
Archuleta County,12244
Arco city,896
Arcola city,2893
Arcola town,362
Arcola township,3288
Arcola village,54
Arctander township,381
Arden Hills city,9876
Arden village,448
Ardencroft village,234
Ardenhurst township,165
Ardentown village,271
Ardmore city,25226
Ardmore city (pt.),1088
Ardmore town,1341
Ardoch city,67
Ardoch township,67
Ardsley village,4555
Aredale city,74
Arena town,1480
Arena township,116
Arena village,831
Arenac County,15353
Arenac township,864
Arendahl township,342
Arendtsville borough,954
Arenzville township,740
Arenzville village,398
Argenta village,924
Argentine township,6687
Argo town,4187
Argo town (pt.),60
Argo township,130
Argonia city,492
Argonne town,507
Argos town,1666
Argos town (pt.),75
Argusville city,481
Argyle city,637
Argyle town,213
Argyle town (pt.),7
Argyle township,731
Argyle UT,274
Argyle village,297
Arietta town,294
Arimo city,356
Arion city,108
Arion township,99
Arispe city,100
Arispie township,745
Ariton town,745
Arizona,6731484
Arizona township,311
Arkadelphia city,10649
Arkansas,2966369
Arkansas City city,336
Arkansas County,18594
Arkoe town,66
Arkoma town,1941
Arkport village,829
Arkwright town,1049
Arland town,781
Arley town,356
Arlington city,1409
Arlington city (pt.),1023
Arlington County,226908
Arlington Heights village,76024
Arlington Heights village (pt.),13464
Arlington town,44461
Arlington township,626
Arlington village,187
Arlone township,347
Arma city,1464
Armada township,5442
Armada village,1744
Armagh borough,119
Armagh township,3833
Armenia town,704
Armenia township,182
Armington village,340
Armour city,685
Armourdale township,47
Armstrong city,912
Armstrong County,67785
Armstrong Creek town,400
Armstrong town,109
Armstrong township,1655
Arna township,111
Arnaudville town,1067
Arnaudville town (pt.),998
Arne township,42
Arnegard city,166
Arnegard township,94
Arnett town,523
Arnold city,21243
Arnold township,739
Arnold village,580
Arnolds Park city,1207
Arnoldsville city,349
Aroma Park village,719
Aroma Park village (pt.),719
Aroma township,5061
Arona borough,356
Aroostook County,69447
Arp city,988
Arpin town,922
Arpin village,325
Arriba town,194
Arrington township,408
Arrow Point village,88
Arrow Rock town,57
Arrowhead township,224
Arrowsic town,436
Arrowsmith township,504
Arrowsmith village,295
Arroyo Grande city,17908
Artas town,9
Artesia city,16895
Artesia town,433
Artesia township,910
Artesian town,137
Arthur city,205
Arthur County,453
Arthur town,770
Arthur township,641
Arthur village,2281
Arthur village (pt.),1476
Artichoke township,78
Arundel town,4176
Arvada city,113574
Arvada city (pt.),3151
Arveson township,94
Arvilla township,347
Arvin city,20583
Arvon township,443
Arvonia township,93
Asbury city,5171
Asbury Park city,15778
Asbury township,100
Ascension Parish,117029
Ash Creek township,54
Ash Flat city,1064
Ash Flat city (pt.),102
Ash Grove city,1471
Ash Grove township,713
Ash Lake township,150
Ash township,7729
Ash Valley township,46
Asharoken village,654
Ashburn city,3791
Ashburnham town,6181
Ashby city,436
Ashby town,3208
Ashby township,4
Ashdown city,4503
Ashe County,27126
Asheboro city,25886
Asher town,416
Asherton city,1153
Asherville township,96
Asheville city,87882
Ashfield town,1731
Ashford town,2164
Ashippun town,2559
Ashkum township,1506
Ashkum village,744
Ashland borough,2757
Ashland borough (pt.),0
Ashland city,835
Ashland city (pt.),2390
Ashland City town,4674
Ashland County,53035
Ashland town,1984
Ashland township,1348
Ashland village,1289
Ashley borough,2741
Ashley city,511
Ashley County,20948
Ashley town,982
Ashley town (pt.),644
Ashley township,784
Ashley village,556
Ashmore township,1339
Ashmore village,771
Ashtabula city,18508
Ashtabula city (pt.),14784
Ashtabula County,99175
Ashtabula township,117
Ashton city,1064
Ashton township,1132
Ashton village,927
Ashville borough,221
Ashville city,2255
Ashville village,4149
Ashwaubenon village,17111
Askewville town,231
Askov city,354
Asotin city,1290
Asotin County,22189
Aspen city,6805
Aspermont town,865
Aspinwall borough,2779
Aspinwall city,40
Assaria city,412
Assumption city,1128
Assumption Parish,23034
Assumption township,1373
Assyria township,2001
Astatula town,1867
Aston township,16863
Astoria city,9521
Astoria town,1100
Astoria township,1415
Asylum township,1063
Atalissa city,303
Atascadero city,29134
Atascosa County,47774
Atchison city,10771
Atchison County,16513
Atchison township,389
Atglen borough,1410
Athalia village,371
Athelstane town,506
Athena city,1134
Athens borough,3287
Athens city,24522
Athens city (pt.),23729
Athens County,64713
Athens town,1005
Athens township,50
Athens village,235
Athens-Clarke County unified government,120938
Athens-Clarke County unified government (balance),119648
Athensville township,334
Atherton town,7147
Atherton township,143
Athol city,694
Athol town,11621
Athol township,66
Atka city,65
Atkins city,3049
Atkins township,36
Atkinson and Gilmanton Academy grant,0
Atkinson city,1257
Atkinson city (pt.),1255
Atkinson County,8223
Atkinson town,953
Atkinson town (pt.),953
Atkinson township,1250
Atlanta city,456002
Atlanta city (pt.),30544
Atlanta town,740
Atlanta township,1893
Atlanta village,156
Atlantic Beach city,13031
Atlantic Beach town,1506
Atlantic Beach village,1910
Atlantic city,6842
Atlantic City city,39415
Atlantic County,275209
Atlantic Highlands borough,4336
Atlantis city,2083
Atlas township,550
Atmore city,10006
Atoka city,3067
Atoka County,13796
Atoka town,8935
Atomic City city,29
Atqasuk city,241
Attala County,19163
Attalla city,5940
Attapulgus city,438
Attica city,3132
Attica town,7477
Attica township,7062
Attica village,2493
Attica village (pt.),126
Attleboro city,43970
Atwater city,29022
Atwater township,2715
Atwood borough,106
Atwood city,1222
Atwood town,72
Atwood township,1259
Atwood village,1199
Atwood village (pt.),601
Au Gres city,863
Au Gres township,923
Au Sable charter township,2016
Au Sable town,3129
Au Sable township,300
Au Train township,1117
Aubbeenaubbee township,1425
Aubrey city,2814
Aubrey town,159
Aubry township,4373
Auburn borough,724
Auburn city,60258
Auburn city (pt.),7031
Auburn Hills city,21845
Auburn town,16387
Auburn township,239
Auburndale city,14518
Auburndale town,836
Auburndale village,679
Auburntown town,268
Audrain County,25887
Audubon borough,8710
Audubon city,2035
Audubon County,5794
Audubon Park borough,1009
Audubon Park city,1502
Audubon township,539
Auglaize County,45841
Auglaize township,2730
Augsburg township,74
Augusta charter township,7006
Augusta city,2105
Augusta County,73862
